well,t,t_red,t_RON_t_GON,t_RON_tdiv,t_div_to_red_on,t_div_to_red_off,t_red_off_t_div,t_gap,t_div_to_green_on,t_green_on_t_div,t_green,t_green_off_t_div,start,redOn,redOff,greenOn,greenOff,end,type,div,position,col,row
2.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.133333,7.866667,7.866667,0.000000,5.866667,6.266667,0.000000,9.000000,16.866667,16.866667,D,1.000000,77.000000,2.000000,3.000000
2.000000,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.933333,7.066667,7.066667,0.000000,5.866667,6.466667,0.000000,9.800000,16.866667,16.866667,D,1.000000,77.000000,2.000000,3.000000
2.000000,15.533333,4.000000,4.000000,15.533333,0.000000,4.000000,11.533333,0.000000,4.000000,11.533333,11.533333,0.000000,15.333333,15.333333,19.333333,19.333333,30.866667,30.866667,D,1.000000,77.000000,3.000000,1.000000
2.000000,15.533333,4.733333,4.733333,15.533333,0.000000,4.733333,10.800000,0.000000,4.733333,10.800000,10.800000,0.000000,15.333333,15.333333,20.066667,20.066667,30.866667,30.866667,D,1.000000,77.000000,3.000000,1.000000
2.000000,11.066667,4.600000,4.666667,10.733333,0.333333,4.933333,6.133333,0.066667,5.000000,6.066667,6.000000,0.066667,7.400000,7.733333,12.333333,12.400000,18.400000,18.466667,D,1.000000,78.000000,6.000000,6.000000
2.000000,10.933333,4.400000,4.400000,10.600000,0.333333,4.733333,6.200000,0.000000,4.733333,6.200000,6.200000,0.000000,7.400000,7.733333,12.133333,12.133333,18.333333,18.333333,D,1.000000,78.000000,6.000000,6.000000
2.000000,17.200000,5.333333,2.533333,16.733333,0.466667,5.800000,11.400000,-2.800000,3.000000,14.200000,14.200000,0.000000,15.533333,16.000000,21.333333,18.533333,32.733333,32.733333,D,1.000000,83.000000,2.000000,5.000000
2.000000,17.533333,6.066667,3.600000,16.666667,0.866667,6.933333,10.600000,-2.466667,4.466667,13.066667,13.066667,0.000000,15.533333,16.400000,22.466667,20.000000,33.066667,33.066667,D,1.000000,83.000000,2.000000,5.000000
2.000000,21.266667,6.933333,4.600000,19.400000,1.866667,8.800000,12.466667,-2.333333,6.466667,14.800000,14.733333,0.066667,21.466667,23.333333,30.266667,27.933333,42.666667,42.733333,D,1.000000,83.000000,5.000000,2.000000
2.000000,26.066667,7.400000,10.400000,24.133333,1.933333,9.333333,16.733333,3.000000,12.333333,13.733333,13.533333,0.200000,21.466667,23.400000,30.800000,33.800000,47.333333,47.533333,D,1.000000,83.000000,5.000000,2.000000
2.000000,9.200000,1.400000,1.466667,7.733333,1.466667,2.866667,6.333333,0.066667,2.933333,6.266667,6.200000,0.066667,7.066667,8.533333,9.933333,10.000000,16.200000,16.266667,D,1.000000,83.000000,6.000000,2.000000
2.000000,9.200000,1.533333,2.800000,7.600000,1.600000,3.133333,6.066667,1.266667,4.400000,4.800000,4.733333,0.066667,7.066667,8.666667,10.200000,11.466667,16.200000,16.266667,D,1.000000,83.000000,6.000000,2.000000
2.000000,27.333333,10.200000,6.400000,26.666667,0.666667,10.866667,16.466667,-3.800000,7.066667,20.266667,20.200000,0.066667,28.800000,29.466667,39.666667,35.866667,56.066667,56.133333,D,1.000000,82.000000,1.000000,4.000000
2.000000,30.533333,13.333333,10.133333,29.866667,0.666667,14.000000,16.533333,-3.200000,10.800000,19.733333,19.733333,0.000000,28.800000,29.466667,42.800000,39.600000,59.333333,59.333333,D,1.000000,82.000000,1.000000,4.000000
2.000000,18.133333,4.866667,2.600000,17.133333,1.000000,5.866667,12.266667,-2.266667,3.600000,14.533333,14.533333,0.000000,32.666667,33.666667,38.533333,36.266667,50.800000,50.800000,D,1.000000,82.000000,5.000000,2.000000
2.000000,18.600000,5.600000,2.666667,17.333333,1.266667,6.866667,11.733333,-2.933333,3.933333,14.666667,14.600000,0.066667,32.666667,33.933333,39.533333,36.600000,51.200000,51.266667,D,1.000000,82.000000,5.000000,2.000000
2.000000,21.466667,7.800000,4.466667,19.600000,1.866667,9.666667,11.800000,-3.333333,6.333333,15.133333,15.066667,0.066667,16.400000,18.266667,26.066667,22.733333,37.800000,37.866667,D,1.000000,82.000000,7.000000,5.000000
2.000000,23.066667,8.266667,5.533333,21.066667,2.000000,10.266667,12.800000,-2.733333,7.533333,15.533333,15.533333,0.000000,16.400000,18.400000,26.666667,23.933333,39.466667,39.466667,D,1.000000,82.000000,7.000000,5.000000
2.000000,11.066667,2.066667,1.266667,9.266667,1.800000,3.866667,7.200000,-0.800000,3.066667,8.000000,8.000000,0.000000,8.800000,10.600000,12.666667,11.866667,19.866667,19.866667,D,1.000000,81.000000,1.000000,3.000000
2.000000,11.333333,2.266667,1.400000,9.466667,1.866667,4.133333,7.200000,-0.866667,3.266667,8.066667,8.000000,0.066667,8.800000,10.666667,12.933333,12.066667,20.066667,20.133333,D,1.000000,81.000000,1.000000,3.000000
2.000000,22.866667,8.866667,5.533333,20.200000,2.666667,11.533333,11.333333,-3.333333,8.200000,14.666667,14.600000,0.066667,8.333333,11.000000,19.866667,16.533333,31.133333,31.200000,D,1.000000,81.000000,5.000000,1.000000
2.000000,23.133333,8.866667,6.133333,20.466667,2.666667,11.533333,11.600000,-2.733333,8.800000,14.333333,14.333333,0.000000,8.333333,11.000000,19.866667,17.133333,31.466667,31.466667,D,1.000000,81.000000,5.000000,1.000000
2.000000,12.400000,2.066667,2.466667,9.800000,2.600000,4.666667,7.733333,0.400000,5.066667,7.333333,7.266667,0.066667,12.066667,14.666667,16.733333,17.133333,24.400000,24.466667,D,1.000000,94.000000,5.000000,4.000000
2.000000,14.266667,2.466667,5.000000,11.466667,2.800000,5.266667,9.000000,2.533333,7.800000,6.466667,6.400000,0.066667,12.066667,14.866667,17.333333,19.866667,26.266667,26.333333,D,1.000000,94.000000,5.000000,4.000000
2.000000,19.400000,2.200000,4.466667,16.800000,2.600000,4.800000,14.600000,2.266667,7.066667,12.333333,12.333333,0.000000,17.333333,19.933333,22.133333,24.400000,36.733333,36.733333,D,1.000000,94.000000,6.000000,5.000000
2.000000,21.933333,3.333333,5.066667,19.200000,2.733333,6.066667,15.866667,1.733333,7.800000,14.133333,14.133333,0.000000,17.333333,20.066667,23.400000,25.133333,39.266667,39.266667,D,1.000000,94.000000,6.000000,5.000000
2.000000,26.266667,7.266667,4.666667,24.666667,1.600000,8.866667,17.400000,-2.600000,6.266667,20.000000,19.800000,0.200000,11.666667,13.266667,20.533333,17.933333,37.733333,37.933333,D,1.000000,93.000000,2.000000,5.000000
2.000000,17.133333,3.400000,1.466667,14.600000,2.533333,5.933333,11.200000,-1.933333,4.000000,13.133333,13.133333,0.000000,8.200000,10.733333,14.133333,12.200000,25.333333,25.333333,D,1.000000,93.000000,2.000000,6.000000
2.000000,17.266667,5.733333,3.733333,14.733333,2.533333,8.266667,9.000000,-2.000000,6.266667,11.000000,11.000000,0.000000,8.200000,10.733333,16.466667,14.466667,25.466667,25.466667,D,1.000000,93.000000,2.000000,6.000000
2.000000,13.733333,3.133333,2.200000,12.666667,1.066667,4.200000,9.533333,-0.933333,3.266667,10.466667,10.466667,0.000000,11.800000,12.866667,16.000000,15.066667,25.533333,25.533333,D,1.000000,91.000000,4.000000,2.000000
2.000000,13.733333,4.200000,3.533333,12.600000,1.133333,5.333333,8.400000,-0.666667,4.666667,9.066667,9.066667,0.000000,11.800000,12.933333,17.133333,16.466667,25.533333,25.533333,D,1.000000,91.000000,4.000000,2.000000
2.000000,17.400000,6.600000,3.933333,16.266667,1.133333,7.733333,9.666667,-2.666667,5.066667,12.333333,12.266667,0.066667,19.066667,20.200000,26.800000,24.133333,36.400000,36.466667,D,1.000000,91.000000,6.000000,4.000000
2.000000,19.066667,6.800000,4.733333,17.933333,1.133333,7.933333,11.133333,-2.066667,5.866667,13.200000,13.133333,0.066667,19.066667,20.200000,27.000000,24.933333,38.066667,38.133333,D,1.000000,91.000000,6.000000,4.000000
3.000000,9.533333,1.800000,2.000000,8.000000,1.533333,3.333333,6.200000,0.200000,3.533333,6.000000,5.866667,0.133333,6.733333,8.266667,10.066667,10.266667,16.133333,16.266667,D,1.000000,60.000000,2.000000,5.000000
3.000000,9.533333,2.066667,2.133333,8.000000,1.533333,3.600000,5.933333,0.066667,3.666667,5.866667,5.866667,0.000000,6.733333,8.266667,10.333333,10.400000,16.266667,16.266667,D,1.000000,60.000000,2.000000,5.000000
3.000000,17.466667,4.533333,1.866667,14.200000,3.266667,7.800000,9.666667,-2.666667,5.133333,12.333333,12.333333,0.000000,21.600000,24.866667,29.400000,26.733333,39.066667,39.066667,D,1.000000,60.000000,3.000000,1.000000
