t,t_div_to_red_on,t_div_to_red_off,t_red_off_t_div,t_red,t_div_to_green_on,t_green_on_t_div,t_green,t_gap,prop_not_green,t_RON_t_GON,t_RON_tdiv,id,start,redOn,redOff,greenOn,greenOff,end,t_red_mid,t_green_mid,t_mid,t_green_off_t_div,t_div_to_red_on_mid,t_green_off_t_div_mid,t_green_on_t_div_mid,t_red_off_t_div_mid,t_gap_mid,t_div_to_red_off_mid,t_div_to_green_on_mid,t_RON_t_GON_mid,t_RON_tdiv_mid,prop_not_green_mid,type,div,n,well,cellnum,daughter,sister,position,row,col
11.500023,2.166671,5.166677,6.333346,3.000006,1.000002,10.500021,10.500021,-4.166675,0.268116,0.000000,9.333352,000091,32.166731,34.333402,37.333408,33.166733,43.666754,43.666754,3.666674,6.250013,5.750012,0.000000,1.083336,11.500023,6.250013,8.333350,3.083340,2.583339,0.500001,0.000000,6.833347,1.541670,D,1.000000,69.000000,2.000000,9.000000,44.00000045.000000,46.000000,2.000000,2.000000,5.000000
11.500023,2.000004,5.000010,6.500013,3.000006,1.000002,10.500021,10.500021,-4.000008,0.260870,0.000000,9.500019,000090,32.166731,34.166735,37.166741,33.166733,43.666754,43.666754,3.500007,6.250013,5.750012,0.000000,1.000002,0.000000,6.250013,8.250017,3.000006,2.500005,0.500001,0.000000,6.750014,1.500003,D,1.000000,69.000000,2.000000,9.000000,47.00000048.000000,43.000000,2.000000,2.000000,5.000000
12.166691,1.833337,4.333342,7.833349,2.500005,3.166673,9.000018,9.000018,-1.166669,0.308219,1.333336,10.333354,000100,35.833405,37.666742,40.166747,39.000078,48.000096,48.000096,3.083340,7.666682,6.083346,0.000000,0.916669,12.166691,7.666682,8.250017,3.750008,2.166671,1.583337,2.500005,7.000014,1.875004,D,1.000000,73.000000,2.000000,10.000000,50.00000051.000000,52.000000,2.000000,2.000000,6.000000
13.333360,1.833337,4.500009,8.833351,2.666672,3.500007,9.833353,9.666686,-1.000002,0.300000,1.666670,11.500023,000101,35.833405,37.666742,40.333414,39.333412,49.000098,49.166765,3.166673,8.333350,6.666680,0.166667,0.916669,13.250027,8.416684,8.916685,4.000008,2.250005,1.750004,2.666672,7.583348,2.000004,D,1.000000,80.000000,2.000000,10.000000,53.00000054.000000,49.000000,2.000000,2.000000,6.000000
11.166689,1.000002,3.166673,8.000016,2.166671,2.000004,9.166685,9.166685,-1.166669,0.231343,1.000002,10.166687,000110,44.833423,45.833425,48.000096,46.833427,56.000112,56.000112,2.083337,6.583346,5.583344,0.000000,0.500001,0.000000,6.583346,7.166681,2.583338,1.583336,1.000002,1.500003,6.083346,1.291669,D,1.000000,67.000000,2.000000,11.000000,56.00000057.000000,58.000000,2.000000,4.000000,1.000000
13.166693,1.833337,5.333344,7.833349,3.500007,3.500007,9.666686,9.666686,-1.833337,0.335443,1.666670,11.333356,000121,36.000072,37.833409,41.333416,39.500079,49.166765,49.166765,3.583340,8.333350,6.583347,0.000000,0.916669,13.166693,8.333350,9.250018,4.416675,2.666672,1.750003,2.666672,7.500015,2.208338,D,1.000000,79.000000,2.000000,12.000000,60.00000061.000000,62.000000,2.000000,6.000000,6.000000
13.833361,1.666670,4.833343,9.000018,3.166673,3.333340,10.500021,10.500021,-1.500003,0.295181,1.666670,12.166691,000120,36.000072,37.666742,40.833415,39.333412,49.833433,49.833433,3.250006,8.583350,6.916680,0.000000,0.833335,13.833361,8.583350,9.333352,4.083342,2.416671,1.666670,2.500005,7.750015,2.041671,D,1.000000,83.000000,2.000000,12.000000,63.00000064.000000,59.000000,2.000000,6.000000,6.000000
11.666690,1.833337,6.000012,5.666678,4.166675,1.666670,10.000020,10.000020,-4.333342,0.328571,0.000000,9.833353,000130,32.000064,33.833401,38.000076,33.666734,43.666754,43.666754,3.916674,6.666680,5.833345,0.000000,0.916669,0.000000,6.666680,8.833351,3.833341,3.000006,0.833335,0.000000,6.750014,1.916670,D,1.000000,70.000000,2.000000,13.000000,66.00000067.000000,68.000000,2.000000,6.000000,7.000000
12.333358,1.500003,6.000012,6.333346,4.500009,1.666670,10.666688,-1.000002,-4.333342,0.310811,0.166667,10.833355,000131,32.000064,33.500067,38.000076,33.666734,32.666732,44.333422,3.750008,1.166669,6.166679,11.666690,0.750002,6.500013,7.000014,9.166685,3.833341,3.000006,0.833335,1.583337,6.916681,1.916670,D,1.000000,74.000000,2.000000,13.000000,69.00000070.000000,65.000000,2.000000,6.000000,7.000000
18.166703,2.833339,7.500015,10.666688,4.666676,1.333336,16.833367,16.833367,-6.166679,0.243119,0.000000,15.333364,000140,36.000072,38.833411,43.500087,37.333408,54.166775,54.166775,5.166677,9.750020,9.083351,0.000000,1.416669,0.000000,9.750020,12.833359,4.416675,3.750007,0.666668,0.000000,10.500021,2.208338,D,1.000000,109.000000,2.000000,14.000000,73.00000074.000000,71.000000,3.000000,1.000000,4.000000
